number,source_name,lat,lon,risk_score
1,Shinjuku_Staion,35.6896,139.7006,0
2,Taito Ward,35.7125736,139.7802043,20
3,Shinagawa Ward,35.6091973,139.7303364,39
4,Setagaya Ward,35.6465615,139.6532924,90
5,Suginami Ward,35.6994705,139.6355204,56
6,Arakawa Ward,35.7359339,139.7834758,21
7,Adachi Ward,35.775017,139.8044129,67
8,Hachioji City,35.6664381,139.3160068,58
9,Mitaka City,35.6833484,139.5598366,19
10,Akishima City,35.7059102,139.3540161,11
11,Koganei City,35.6994563,139.5030584,12
12,Higashimurayama City,35.754598,139.4685613,15
13,Fussa City,35.7384892,139.3270235,6
14,Kiyose City,35.7860547,139.5261729,7
15,Tama City,35.63711,139.4465075,15
16,Akiruno City,35.7285903,139.2934663,8
17,Midori WardYokohama ,35.4956281,139.6809281,29
18,Izumi WardYokohama ,35.4322553,139.6605146,15
19,Kawasaki WardKawasaki ,35.3908304,139.6146102,17
20,Takatsu WardKawasaki ,35.4014751,139.5381824,28
21,Asao WardKawasaki ,35.5193224,139.5229088,18
22,Minami WardSagamihara ,35.4218189,139.4974616,15
23,Kamakura ,35.5222897,139.730788,22
24,Chigasaki ,35.5929998,139.6146102,23
25,Hadano ,35.5936667,139.5025502,18
26,Isehara ,35.5275279,139.3957836,28
27,Minamiashigara ,35.3192128,139.5466731,17
28,Samukawa Town,35.3338221,139.4036897,24
29,Nakai Town,35.3747429,139.2199154,17
30,Yamakita Town,35.4031334,139.3145107,10
31,Manazuru Town,35.3206301,139.0997508,4
32,Kiyokawa Village,35.3730006,139.3838428,5
33,Sakai,35.3307448,139.2185817,1
34,Kaamakita,35.3606484,139.0838347,1
35,Imaizuru,35.1584376,139.1371349,1
36,Kiyokawa Village,35.4823577,139.2763651,1
37,Omiya WardSaitama ,35.908649,139.6248081,11
38,Sakura WardSaitama ,35.8638181,139.6044141,10
39,Midori WardSaitama ,35.880964,139.6809281,12
40,Kumagaya ,36.1471963,139.3889796,20
41,Chichibu ,35.9916443,139.0855869,6
42,Kazo ,36.1313882,139.6017706,11
43,Kasugabe ,35.9752624,139.752313,23
44,Konosu ,36.0659102,139.5221704,12
45,Soka ,35.8254078,139.805378,25
46,Toda ,35.8175849,139.6777785,14
47,Shiki ,35.836195,139.5800582,7
48,Okegawa ,36.0057661,139.5425834,7
49,Yashio ,35.8226792,139.8392388,9
50,Hasuda ,35.9943676,139.6621755,6
51,Tsurugashima ,35.9345047,139.3931269,7
52,Fujimino ,35.8793521,139.5196171,11
53,Miyoshi Town,35.8283861,139.5264752,4
54,Namegawa Town,36.0660069,139.3608153,2
55,Kawajima Town,35.9924665,139.4842887,2
56,Tokigawa Town,36.0086728,139.2970117,1
57,Nagatoro Town,36.1147677,139.1096114,1
58,Misato Town,36.1771581,139.1815144,1
59,Yorii Town,36.1184155,139.1929538,3
60,Matsubushi Town,35.9256101,139.8152763,3
61,Inage WardChiba ,35.6486955,140.1112339,16
62,Chiba  Mihama Ward,35.6349811,140.064982,15
63,Funabashi ,35.6945485,139.9827277,62
64,Matsudo ,35.7876663,139.9033248,48
65,Narita ,35.7766588,140.3187418,13
66,Asahi ,35.720454,140.6466177,7
67,Katsuura ,35.1522272,140.3208833,2
68,Yachiyo ,35.7224358,140.0998762,19
69,Kamagaya ,35.7768605,140.0007716,11
70,Urayasu ,35.6531598,139.9019863,16
71,Yachimata ,35.6659061,140.318025,7
72,Tomisato ,35.7267856,140.3430617,5
73,Katori ,35.8977688,140.4993404,8
74,Oamishirasato ,35.5217735,140.3209903,5
75,Kanzaki Town,35.9015075,140.4051442,1
76,Kujukuri Town,35.5348912,140.4396558,2
77,Ichinomiya Town,35.3725402,140.368552,1
78,Shirako Town,35.454338,140.3744059,1
79,Otaki Town,35.2851872,140.2454217,1
80,Hitachi City,36.5991273,140.6504712,19
81,Ishioka City,36.1947889,140.2888599,8
82,Shimotsuma City,36.1843331,139.9673895,4
83,Takahagi City,36.7191132,140.7167862,3
84,Toride City,35.9114223,140.0503534,11
85,Hitachinaka City,36.3966506,140.5347934,16
86,Moriya City,35.9515333,139.975572,6
87,Chikusei City,36.3052343,139.9794265,10
88,Kasumigaura City,36.0942581,140.3307847,4
89,Namegata City,35.9906251,140.4889866,3
90,Omitama City,36.239317,140.3526411,5
91,Shirosato Town,36.4794764,140.375928,2
92,Miho Village,36.0046011,140.3019858,2
93,Yachiyo Town,36.1816174,139.8912133,2
94,Tone Town,35.8577836,140.1391657,2
95,Tochigi City,36.3823772,139.7341396,16
96,Nikko City,36.7198987,139.6982361,8
97,Otawara City,36.8712697,140.0153213,8
98,Sakura City,36.6853883,139.9664416,4
99,Kaminokawa Town,36.4393763,139.9099658,3
100,Ichikai Town,36.5432265,140.102137,1
